AFST,201,3,5275,Fisher C,WHEN AND WHERE I ENTER,PAULA J. GIDDI,0,9780061984921,OP,S22,       
AFST,201,3,5275,Fisher C,LET NOBODY TURN US AROUND:AFR.-AM.ANTH.,MARABLE,2ND 09,9780742560574,RQ,S22,       
AFST,201,3,5275,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,S22,       
AFST,201,3,5275,Fisher C,LET NOBODY TURN US AROUND,N/A,2,9780742565456,OP,S22,       
AFST,411,101,5637,Baker R,UNDERSTANDING AFRICAN AMERICAN RHETORIC,JACKSON,3,9780415943871,RQ,S22,       
AFST,411,101,5637,Baker R,UNDERSTANDING AFRICAN AMERICAN RHETORIC,JACKSON,1,9781136727368,RQ,S22,       
AFST,411,101,5637,Baker R,UNDERSTANDING AFRICAN AMERICAN RHETORIC,JACKSON,1,9781136727368,RQ,S22,       
AHLT,310,900,4512,Cochran R,UMIKER'S MANAGEMENT SKILLS F/NEW HEAL..,MCCONNELL,7TH 18,9781284121322,RQ,F21,       
AHLT,310,900,4512,Cochran R,UMIKER'S MANAGEMENT SKILLS FOR THE NEW,MCCONNELL,7,9781284121339,OP,F21,       
AHLT,310,900,4512,Cochran R,UMIKER'S MANAGEMENT SKILLS FOR THE NEW,MCCONNELL,7,9781284121339,OP,F21,       
AHLT,311,1,4513,Jones A,BASIC CONCEPTS OF HEALTH CARE HUMAN...,NILES,2ND 20,9781284149463,RQ,F21,       
AHLT,311,1,4513,Jones A,BASIC CONCEPTS OF HEALTH CARE HUMAN RES,NILES,2,9781284149470,OP,F21,       
AHLT,311,1,4513,Jones A,BASIC CONCEPTS OF HEALTH CARE HUMAN RES,NILES,2,9781284149470,OP,F21,       
AHLT,311,900,4686,Gould K,UMIKER'S MANAGEMENT SKILLS F/NEW HEAL..,MCCONNELL,7TH 18,9781284121322,RQ,F21,       
AHLT,311,900,4686,Gould K,UMIKER'S MANAGEMENT SKILLS FOR THE NEW,MCCONNELL,7,9781284121339,OP,F21,       
AHLT,311,900,4686,Gould K,UMIKER'S MANAGEMENT SKILLS FOR THE NEW,MCCONNELL,7,9781284121339,OP,F21,       
AHLT,311,900,1033,Henson C,FUND.OF HUMAN RESOURCES IN HEALTHCARE,FRIED,2ND 18,9781567939408,RQ,M22,       
AHLT,311,900,1033,Henson C,FUNDAMENTALS OF HUMAN RESOURCES IN HEAL,FRIED,0,9781567939439,OP,M22,       
AHLT,313,1,4518,Anderson C,PROGRAM EVALUATION,ROYSE,6TH 16,9781305101968,RQ,F21,       
AHLT,313,900,4519,Henson C,HEALTH PROGRAM PLANNING+EVAL.-W/ACCESS,ISSEL,5TH 22,9781284210057,RQ,F21,       
AHLT,313,900,4519,Henson C,HEALTH PROGRAM PLANNING AND EVALUATION,ISSEL,5,9781284210255,OP,F21,       
AHLT,313,900,4519,Henson C,HEALTH PROGRAM PLANNING AND EVALUATION,ISSEL,5,9781284210255,OP,F21,       
AHLT,315,900,5435,Henson C,HEALTH CARE FINANCE-W/ACCESS,BAKER,5TH 18,9781284118216,RQ,S22,       
AHLT,315,900,5435,Henson C,HEALTH CARE FINANCE,BAKER,5,9781284118261,OP,S22,       
AHLT,320,900,5434,Douglass T,EVIDENCE-BASED PRACTICE IN...-W/ACCESS,MELNYK,4TH 19,9781496384539,RQ,S22,       
AHLT,320,900,5434,Douglass T,EVIDENCE-BASED PRACTICE IN NURSING & HE,MELNYK,4,9781496386892,OP,S22,       
AHLT,320,900,5434,Douglass T,EVIDENCE-BASED PRACTICE IN NURSING & HE,MELNYK,4,9781496386892,OP,S22,       
AHLT,405,900,4510,Douglass T,PRACTICAL STRAT.F/TECH.COMM.-APA UPDT.,MARKEL,3RD 19,9781319362294,RQ,F21,       
AHLT,405,900,4510,Douglass T,PRACTICAL STRATEGIES FOR TECHNICAL COMM,MARKEL,3,9781319372149,OP,F21,       
AHLT,440,900,5421,Gould K,"LITTLE,BROWN HANDBOOK",FOWLER,14TH 19,9780134759722,RQ,S22,       
AHLT,440,900,5421,Gould K,"LITTLE, BROWN HANDBOOK, THE",FOWLER,14,9780134770659,OP,S22,       
AHLT,440,900,5421,Gould K,"LITTLE, BROWN HANDBOOK, THE",FOWLER,14,9780134770659,OP,S22,       
AHLT,445,1,4521,Yang B,ESSEN.OF PUBLIC HEALTH...-W/ACCESS,CROSBY,21,9781284175462,RQ,F21,       
AHLT,445,1,4521,Yang B,ESSENTIALS OF PUBLIC HEALTH RESEARCH ME,CROSBY,2021,9781284175479,OP,F21,       
AHLT,445,1,4521,Yang B,ESSENTIALS OF PUBLIC HEALTH RESEARCH ME,CROSBY,2021,9781284175479,OP,F21,       
AHLT,445,2,4687,Fisher M,INTRO.TO HEALTH RSRCH.METHODS-W/ACCESS,JACOBSEN,3RD 21,9781284197563,RQ,F21,       
AHLT,445,2,4687,Fisher M,INTRODUCTION TO HEALTH RESEARCH METHODS,JACOBSEN,3,9781284197570,OP,F21,       
